slug,location_name,state,image_url
gold-coast,Gold Coast,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHA1V4tCGJhXVh7WhV9NKPQCYmNuZqNLBtvpuWc-VigjIUUyGGYLQ4peZgh1f1xErMaKgJVgruwgexEolqCiHA2Bwko6hco6ILgjqBnqngdrYnuDPmAU5WZq6KMj6yhX24gRmQlPQ=w800-h600-k-no
noosa,Noosa,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHU9UWhDVnGb9OxOvVPxf1nKas7zTBAflf_ho9iiov-x1UQ-BPA-DjYMNn2M7fwB0yjN71mCdnzzR6jCRz7gMUIj1e2ok579S_y5Gc13HvXx0t4NP7AfyPd2nEvLEEENey7mxl-=w800-h600-k-no
sunshine-coast,Sunshine Coast,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEXeBsBgy6sxhIjN2pX6jYFWST1SMEbBmDQeAbh_4ta1t9Y6Csm6uX2K0H00aSqcUYeBXFSxIXDI4vV_O57xxBN3Inq_a7WGOk2o5L2XAKS8vwCqP1bZQ9lmC9CDql1CLku-_Q8Vw=w800-h600-k-no
whitsundays,Whitsundays,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZtExRrdGznkyRKQY6M-7vegYI19EcnOP3Ls5LypvXQ9BAGLrnS4NfiSlvn4G-oqg48RWzajDb3R7wwNDoIK_FGStiwGQqFJu6LsckKHt39f_sRuvkT_yTVLFT-T5m_mVlbpSk=w800-h600-k-no
cairns,Cairns,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOFXMYMcRP56TKBvBjPsKqBfgNY6kafQTWfvSznFxmJCR2cc34-1mrZ4dJZ_9RyEfJa54fZ6b9MxPvmjBRNbcajeT8lYiLV5YAPgrme9hhX8ByOWUfckF7TdbkGVcZict5-dIdtS9UAL45=w800-h600-k-no
port-douglas,Port Douglas,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGYp3KgZ1AzAfWtTEAfyuWDQChbiHRCmY2GLxLNPhjjr_R8esyqVjS9SyVqlgScCnoqZLGpaxFpx_-huiqIVwdbUehr60j5LjawiPAF7iTaLpDDMs3L-fqVKBXWJWnOiNgsJ-U-Lw=w800-h600-k-no
hervey-bay,Hervey Bay,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGFnnvyeUVGxpe2OLlsdDbdbhWsEem2bVmnYwlejkz72y4zandAfH17oR8UjC7-1SwNmefQjIpnFbFFKoGKswMBOqWGR7_u1NHQCDAzKKnFAnIpY4wEEykfJ7rihMoEhodNEMuA=w800-h600-k-no
airlie-beach,Airlie Beach,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGuWBwU44k1Xs0gPWyBqpcE4nnQiESkdg-YsopfamJyjIOYZ-erLK5tYMsP7MbJGvu14gOxi9R1sA8JaMgoXrJN2fZ2yfjSbdTMSnhuWHyneLYNI8JFQLjHnVP-5vMgKkDCNpq3=w800-h600-k-no
magnetic-island,Magnetic Island,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzHwSX6Kb9fnyhIpUJHBt_KlhlTak13Vmnzb6m24n8l0iIOsjWE2WesmWp_TaN3rfyYCizTGiWVHqOkeTRH__JBoveaQQGQsb3Ji45A26KRDaNaj3w_ZM3-0Fpzv-2jblRO_VNsg=w800-h600-k-no
yeppoon,Yeppoon,QLD,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKqF5nVGnWMHPofnxMhFIQ0NTS86a2_Ffbhve3YsVhX0gyEiE1dppa_IzCSh7631B58kGzDwqtW8he3LuDZspdqXVXMtr7-DwerZw1pUs_S53m9s8o0p8SK2YtdS1Mi1HC5ANapg=w800-h600-k-no
